Frame,Contour ID,Length
1,5886,0.121
1,5887,0.296
1,5889,0.201
1,5891,0.224
1,5893,0.319
1,5899,1.897
1,5901,0.833
1,5902,0.265
1,5905,0.324
1,5907,0.341
1,5910,0.195
1,5917,3.117
1,5923,4.280
1,5944,9.253
1,5946,0.426
1,5947,0.216
1,5952,0.122
1,6229,2.424
1,6353,0.347
1,6592,0.245
1,6689,0.299
1,6756,0.108
1,6770,0.811
1,6775,0.184
1,6778,0.288
1,6781,0.320
1,6783,0.274
1,6790,2.359
1,6793,0.201
1,6805,4.968
1,6809,0.305
1,6824,5.371
1,6827,0.411
1,6830,0.541
1,6834,0.140
1,6840,0.669
1,6848,0.108
1,6854,0.241
1,6857,0.123
1,6859,0.307
1,6876,4.857
1,6877,0.237
1,6880,0.587
1,6885,1.805
1,6889,0.470
1,6892,0.685
1,6894,0.430
1,6897,0.192
1,6901,0.297
1,6904,0.262
1,6906,0.106
1,6909,0.062
1,6911,0.117
1,6913,0.110
1,6916,0.264
1,6919,0.322
1,6923,0.111
1,6924,0.420
1,6925,0.234
1,6930,0.610
1,6938,2.286
1,6940,0.410
1,6945,0.284
1,6948,0.116
1,6951,0.298
1,6958,1.044
1,6960,0.461
1,6973,4.825
1,6979,0.299
1,6982,0.150
1,6985,0.111
1,6988,0.213
1,6996,3.713
1,7001,1.069
1,7003,0.359
1,7007,0.433
1,7010,0.808
1,7012,0.433
1,7014,0.345
1,7017,0.357
1,7018,0.108
1,7021,0.116
1,7022,0.171
1,7025,0.320
1,7027,0.300
1,7050,6.831
1,7054,0.318
1,7056,0.380
1,7059,0.685
1,7060,0.348
1,7061,0.184
1,7063,0.108
1,7064,0.111
1,7068,0.441
1,7071,0.438
1,7074,0.371
1,7078,0.114
1,7085,0.315
1,7090,0.324
1,7099,0.265
1,7102,0.225
1,7105,0.208
1,7110,0.849
1,7112,0.124
1,7114,0.188
1,7116,0.296
1,7119,0.396
1,7122,1.222
1,7123,0.260
1,7126,0.243
1,7129,0.481
1,7132,0.185
1,7134,0.221
1,7139,2.474
1,7144,0.474
1,7146,0.303
1,7149,2.745
1,7151,0.172
1,7153,0.632
1,7154,0.469
1,7157,0.307
1,7165,0.666
1,7168,0.237
1,7179,0.267
1,7182,0.441
1,7186,0.323
1,7189,0.285
1,7194,0.258
1,7197,0.235
1,7200,0.186
1,7204,0.325
1,8014,0.300
1,8139,0.941
1,8300,0.320
1,8424,0.172
1,8535,0.317
1,8690,0.222
1,8735,0.335
1,8773,0.268
1,8829,0.218
1,8831,0.230
1,8838,1.479
1,8843,0.298
1,8845,0.130
1,8847,0.269
1,8850,0.114
1,8851,0.243
1,8868,4.683
1,8873,0.278
1,8875,0.428
1,8876,0.550
1,8880,0.177
1,8882,0.213
1,8885,0.572
1,8886,0.182
1,8887,0.401
1,8889,0.299
1,8892,0.287
1,8895,0.322
1,8897,0.183
1,8899,0.321
1,8901,0.118
1,8903,0.176
1,8905,0.476
1,8906,0.318
1,8908,0.266
1,8914,0.334
1,8916,0.124
1,8919,0.370
1,8925,0.248
1,8929,0.174
1,8931,0.452
1,8932,0.339
1,8935,0.077
1,8937,0.079
1,8939,0.323
1,8942,0.562
1,8945,0.392
1,8958,3.316
1,8962,0.258
1,8963,0.413
1,8967,0.540
1,8969,0.316
1,8971,0.189
1,8975,1.751
1,8976,0.315
1,8979,0.219
1,8980,0.266
1,8982,0.253
1,8985,0.894
1,8989,0.492
1,8991,0.309
1,8992,0.418
1,8996,0.126
1,8997,0.342
1,8998,0.116
1,9824,6.707
1,9827,0.233
1,9833,0.061
1,9836,0.324
1,9839,0.321
1,9842,0.327
1,9849,0.795
1,9853,0.365
1,9857,0.365
1,9862,0.279
1,9864,0.363
1,9868,0.456
1,9871,0.257
1,9875,0.383
1,9879,0.338
1,9883,0.344
1,9884,0.496
1,9887,0.284
1,9891,0.341
1,9892,0.132
1,9897,0.189
1,9905,0.273
1,9908,0.237
1,9910,0.166
1,9911,0.136
1,9913,0.348
1,9915,0.213
1,9917,0.160
1,9919,0.104
1,9921,0.350
1,9924,0.376
1,9947,6.732
1,9949,0.117
1,9950,0.111
1,9956,0.157
1,9962,1.650
1,9966,0.285
1,9969,0.475
1,9977,1.703
1,9984,0.325
1,9988,0.188
1,9990,0.417
1,9994,0.235
1,9997,0.189
1,10002,0.455
1,10007,0.485
1,10011,0.580
1,10015,0.303
1,10018,0.193
1,10023,0.328
1,10026,0.370
1,10044,0.162
1,10046,0.180
1,10048,0.523
1,10049,0.222
1,10050,0.395
1,10054,0.109
1,10060,0.624
1,10061,0.115
1,10065,0.340
1,10072,0.120
1,10073,0.122
1,10075,0.369
1,10076,0.120
1,10079,0.300
1,10084,0.359
1,10088,0.292
1,10092,0.168
1,10096,0.241
1,10097,0.388
1,10098,0.517
1,10099,0.153
1,10103,0.231
1,10106,0.352
1,10113,1.108
1,10114,0.227
1,10117,0.570
1,10118,0.379
1,10124,0.123
1,10134,3.181
1,10139,1.183
1,10143,0.265
1,10144,0.208
1,10147,0.271
1,10150,0.381
1,10152,0.248
1,10155,0.195
1,10156,0.139
1,10162,0.163
1,10164,0.372
1,10174,1.612
1,10177,0.229
1,10181,0.354
1,10186,0.307
1,10188,0.182
1,10191,0.189
1,10196,0.298
1,10200,0.551
1,10202,0.242
1,10206,0.733
1,10208,0.127
1,10211,0.717
1,10228,0.274
1,10229,0.260
1,10234,0.267
1,10237,0.566
1,10246,0.342
1,10247,0.372
1,10250,0.131
1,10261,2.652
1,10266,0.410
1,10268,0.182
1,10273,0.251
1,10293,1.878
1,10296,0.365
1,10302,0.224
1,10306,0.223
1,10309,0.318
1,10316,0.301
1,10329,1.352
1,10330,0.389
1,10337,1.640
1,10339,0.382
1,10342,0.113
1,10344,0.386
1,10347,0.183
1,10349,0.462
1,10350,0.278
1,10352,0.229
1,10357,0.525
1,10360,0.434
1,10362,0.244
1,10364,0.109
1,10367,0.355
1,10370,0.302
1,10372,0.383
1,10374,0.140
1,10377,0.559
1,10381,0.118
1,10384,0.205
1,10389,0.348
1,10390,0.346
1,10395,0.288
1,10397,0.298
1,10401,0.407
1,10405,0.242
1,10413,0.188
1,10416,0.111
1,10419,0.345
1,10422,0.227
1,10425,0.310
1,10427,0.141
1,10435,0.246
1,10436,0.376
1,10439,0.258
1,10443,0.320
1,10447,0.262
1,10458,0.263
1,10460,0.371
1,10461,0.132
1,10464,0.132
1,10467,0.328
1,10470,0.265
1,10471,0.216
1,10472,0.237
1,10474,0.338
1,10476,0.185
1,10478,0.224
1,10492,0.407
1,10493,0.323
1,10494,0.415
1,10495,0.586
1,10496,0.307
1,10498,0.383
1,10501,0.117
1,10505,0.212
1,10511,0.444
1,10518,0.402
1,10524,0.086
1,10526,0.218
1,10530,0.214
1,10536,0.655
1,10538,0.326
1,10541,0.184
1,10543,0.262
1,10549,0.988
1,10553,0.057
1,10556,0.499
1,10559,0.363
